Topic_Num,Topic_Perc_Contrib,Topic_Keywords,Page
0.0,0.8707,"species, plants, plant, animals, food, animal, population, fish, organisms, found",Botanical_terms.txt
0.0,0.8612,"species, plants, plant, animals, food, animal, population, fish, organisms, found",Chaetoceros.txt
0.0,0.8583,"species, plants, plant, animals, food, animal, population, fish, organisms, found",Zoid.txt
0.0,0.8377,"species, plants, plant, animals, food, animal, population, fish, organisms, found",Ants.txt
0.0,0.8377,"species, plants, plant, animals, food, animal, population, fish, organisms, found",ants.txt
0.0,0.8326,"species, plants, plant, animals, food, animal, population, fish, organisms, found",Millipede.txt
0.0,0.8252,"species, plants, plant, animals, food, animal, population, fish, organisms, found",arachnid.txt
0.0,0.8222,"species, plants, plant, animals, food, animal, population, fish, organisms, found",Crustaceans.txt
0.0,0.8152,"species, plants, plant, animals, food, animal, population, fish, organisms, found",Mimicry.txt
0.0,0.8115,"species, plants, plant, animals, food, animal, population, fish, organisms, found",epicarp.txt
1.0,0.8699,"research, management, social, systems, design, development, science, system, information, process",Project_management.txt
1.0,0.8463,"research, management, social, systems, design, development, science, system, information, process","Association_of_Technology,_Management,_and_Applied_Engineering.txt"
1.0,0.8414,"research, management, social, systems, design, development, science, system, information, process",Systems_scientists.txt
1.0,0.8414,"research, management, social, systems, design, development, science, system, information, process",Systems_science.txt
1.0,0.8349,"research, management, social, systems, design, development, science, system, information, process",Team_building.txt
1.0,0.8266,"research, management, social, systems, design, development, science, system, information, process",business_process_reengineering.txt
1.0,0.8256,"research, management, social, systems, design, development, science, system, information, process",Instructional_design.txt
1.0,0.8255,"research, management, social, systems, design, development, science, system, information, process",Virtual_management.txt
1.0,0.8214,"research, management, social, systems, design, development, science, system, information, process",Enterprise_systems_engineering.txt
1.0,0.8168,"research, management, social, systems, design, development, science, system, information, process",Organization_design.txt
2.0,0.946,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",Derivative.txt
2.0,0.9433,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",Hooke's_Law.txt
2.0,0.9351,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",magnetic_field.txt
2.0,0.9282,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",Wave.txt
2.0,0.919,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",refractive_index.txt
2.0,0.918,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",Quantum_logic_gates.txt
2.0,0.9167,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",normal_distribution.txt
2.0,0.915,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",electronic_band_structure.txt
2.0,0.9116,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",nearly_free_electron_model.txt
2.0,0.9116,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",wavelengths.txt
3.0,0.9006,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",leukemia.txt
3.0,0.8873,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",inflammation.txt
3.0,0.8777,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",coagulation.txt
3.0,0.8729,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",estrogen.txt
3.0,0.867,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",endotoxins.txt
3.0,0.8645,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",cancer_treatments.txt
3.0,0.8624,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",Oncolytic_virus.txt
3.0,0.8534,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",gene_expression.txt
3.0,0.8511,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",Staphylococcus_aureus.txt
3.0,0.85,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",rotavirus.txt
4.0,0.8859,"world, country, population, war, government, people, state, national, europe, largest",Anatolia.txt
4.0,0.8806,"world, country, population, war, government, people, state, national, europe, largest",Assyria.txt
4.0,0.84,"world, country, population, war, government, people, state, national, europe, largest",Byzantine.txt
4.0,0.84,"world, country, population, war, government, people, state, national, europe, largest",Eastern_Roman_Empire.txt
4.0,0.8373,"world, country, population, war, government, people, state, national, europe, largest",Inner_Mongolia.txt
4.0,0.8338,"world, country, population, war, government, people, state, national, europe, largest",Korea.txt
4.0,0.8255,"world, country, population, war, government, people, state, national, europe, largest",Spain.txt
4.0,0.8243,"world, country, population, war, government, people, state, national, europe, largest",Middle_East.txt
