Topic_Num,Topic_Perc_Contrib,Topic_Keywords,Page
0.0,0.8063,"food, production, plant, soil, plants, crops, agriculture, agricultural, milk, crop",Flour.txt
0.0,0.8063,"food, production, plant, soil, plants, crops, agriculture, agricultural, milk, crop",flour.txt
0.0,0.7391,"food, production, plant, soil, plants, crops, agriculture, agricultural, milk, crop",fodder.txt
0.0,0.7332,"food, production, plant, soil, plants, crops, agriculture, agricultural, milk, crop",Barley.txt
0.0,0.7256,"food, production, plant, soil, plants, crops, agriculture, agricultural, milk, crop",forage.txt
0.0,0.7225,"food, production, plant, soil, plants, crops, agriculture, agricultural, milk, crop",vegetables.txt
0.0,0.7207,"food, production, plant, soil, plants, crops, agriculture, agricultural, milk, crop",Grape.txt
0.0,0.7126,"food, production, plant, soil, plants, crops, agriculture, agricultural, milk, crop",Mazamorra.txt
0.0,0.7066,"food, production, plant, soil, plants, crops, agriculture, agricultural, milk, crop",Sorghum_bicolor.txt
0.0,0.706,"food, production, plant, soil, plants, crops, agriculture, agricultural, milk, crop",grains.txt
0.0,0.6955,"food, production, plant, soil, plants, crops, agriculture, agricultural, milk, crop",lemon.txt
0.0,0.6862,"food, production, plant, soil, plants, crops, agriculture, agricultural, milk, crop",crops.txt
0.0,0.6862,"food, production, plant, soil, plants, crops, agriculture, agricultural, milk, crop",Crop.txt
0.0,0.6851,"food, production, plant, soil, plants, crops, agriculture, agricultural, milk, crop",Pozol.txt
0.0,0.685,"food, production, plant, soil, plants, crops, agriculture, agricultural, milk, crop",Hominy.txt
1.0,0.8827,"elements, metal, element, nuclear, high, metals, aluminium, iron, form, chemical",Copernicium.txt
1.0,0.8726,"elements, metal, element, nuclear, high, metals, aluminium, iron, form, chemical",Meitnerium.txt
1.0,0.8705,"elements, metal, element, nuclear, high, metals, aluminium, iron, form, chemical",Roentgenium.txt
1.0,0.8686,"elements, metal, element, nuclear, high, metals, aluminium, iron, form, chemical",Lawrencium.txt
1.0,0.8627,"elements, metal, element, nuclear, high, metals, aluminium, iron, form, chemical",Darmstadtium.txt
1.0,0.861,"elements, metal, element, nuclear, high, metals, aluminium, iron, form, chemical",Flerovium.txt
1.0,0.8576,"elements, metal, element, nuclear, high, metals, aluminium, iron, form, chemical",post-transition_metal.txt
1.0,0.8555,"elements, metal, element, nuclear, high, metals, aluminium, iron, form, chemical",Bohrium.txt
1.0,0.8524,"elements, metal, element, nuclear, high, metals, aluminium, iron, form, chemical",Actinide.txt
1.0,0.847,"elements, metal, element, nuclear, high, metals, aluminium, iron, form, chemical",Nobelium.txt
1.0,0.8464,"elements, metal, element, nuclear, high, metals, aluminium, iron, form, chemical",Livermorium.txt
1.0,0.8405,"elements, metal, element, nuclear, high, metals, aluminium, iron, form, chemical",Rutherfordium.txt
1.0,0.8362,"elements, metal, element, nuclear, high, metals, aluminium, iron, form, chemical",Mendelevium.txt
1.0,0.8266,"elements, metal, element, nuclear, high, metals, aluminium, iron, form, chemical",Berkelium.txt
1.0,0.8264,"elements, metal, element, nuclear, high, metals, aluminium, iron, form, chemical",Curium.txt
2.0,0.8532,"material, materials, made, concrete, process, glass, surface, high, steel, metal",shoddy.txt
2.0,0.8401,"material, materials, made, concrete, process, glass, surface, high, steel, metal",Strapping.txt
2.0,0.8358,"material, materials, made, concrete, process, glass, surface, high, steel, metal",Chisel.txt
2.0,0.8294,"material, materials, made, concrete, process, glass, surface, high, steel, metal",injection_moulding.txt
2.0,0.8294,"material, materials, made, concrete, process, glass, surface, high, steel, metal",masonry.txt
2.0,0.8294,"material, materials, made, concrete, process, glass, surface, high, steel, metal",injection_molding.txt
2.0,0.8049,"material, materials, made, concrete, process, glass, surface, high, steel, metal",plastics_extrusion.txt
2.0,0.8009,"material, materials, made, concrete, process, glass, surface, high, steel, metal",vacuum_forming.txt
2.0,0.7929,"material, materials, made, concrete, process, glass, surface, high, steel, metal",Tuckpointing.txt
2.0,0.7888,"material, materials, made, concrete, process, glass, surface, high, steel, metal",stamped_concrete.txt
2.0,0.7865,"material, materials, made, concrete, process, glass, surface, high, steel, metal",stretch-blow_molding.txt
2.0,0.7838,"material, materials, made, concrete, process, glass, surface, high, steel, metal",Rebar.txt
2.0,0.7766,"material, materials, made, concrete, process, glass, surface, high, steel, metal",paint.txt
2.0,0.7766,"material, materials, made, concrete, process, glass, surface, high, steel, metal",Paint.txt
2.0,0.7766,"material, materials, made, concrete, process, glass, surface, high, steel, metal",paints.txt
3.0,0.7592,"city, area, building, urban, park, built, cities, london, street, buildings",West_Yorkshire.txt
3.0,0.748,"city, area, building, urban, park, built, cities, london, street, buildings",Bracknell.txt
3.0,0.7345,"city, area, building, urban, park, built, cities, london, street, buildings",Brooklyn_Bridge_Park.txt
