Dominant_Topic,Perc_Contribution,Topic_Keywords,Page
5.0,0.4322,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",Dry_toilet.txt
9.0,0.7263,"chemical, high, metal, carbon, elements, form, reaction, compounds, process, oxygen",Uranium.txt
6.0,0.1821,"university, work, art, american, published, book, time, history, new_york, life",Journal_of_Biogeography.txt
1.0,0.521,"research, management, social, systems, design, development, science, system, information, process",Psychology.txt
3.0,0.2935,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",Cascade_effect.txt
2.0,0.5955,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",near-infrared.txt
5.0,0.3123,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",Water_supply_and_sanitation_in_the_United_States.txt
9.0,0.4863,"chemical, high, metal, carbon, elements, form, reaction, compounds, process, oxygen",Sodium_nitrate.txt
1.0,0.8168,"research, management, social, systems, design, development, science, system, information, process",Organization_design.txt
8.0,0.2712,"data, computer, technology, media, information, company, software, design, system, digital",Products.txt
4.0,0.6873,"world, country, population, war, government, people, state, national, europe, largest",Finland.txt
1.0,0.4719,"research, management, social, systems, design, development, science, system, information, process",Creative_city.txt
10.0,0.3289,"made, material, materials, process, water, concrete, high, glass, plastic, wood",refinery.txt
1.0,0.5336,"research, management, social, systems, design, development, science, system, information, process",enactivism.txt
10.0,0.4635,"made, material, materials, process, water, concrete, high, glass, plastic, wood",Lid.txt
11.0,0.4666,"water, earth, soil, surface, sea, land, ocean, areas, temperature, atmosphere",global_warming.txt
4.0,0.4688,"world, country, population, war, government, people, state, national, europe, largest",Australia.txt
5.0,0.3961,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",environmental_movement.txt
10.0,0.3366,"made, material, materials, process, water, concrete, high, glass, plastic, wood",Roman_engineers.txt
14.0,0.2934,"economic, government, law, public, market, company, international, united_states, state, countries",Bioprospecting.txt
4.0,0.8195,"world, country, population, war, government, people, state, national, europe, largest",Ancient.txt
6.0,0.3764,"university, work, art, american, published, book, time, history, new_york, life",Patrick_Geddes.txt
6.0,0.5758,"university, work, art, american, published, book, time, history, new_york, life",Clarendon_Press.txt
9.0,0.6157,"chemical, high, metal, carbon, elements, form, reaction, compounds, process, oxygen",nitrogen_oxides.txt
14.0,0.3737,"economic, government, law, public, market, company, international, united_states, state, countries",Government_ministries.txt
0.0,0.5413,"species, plants, plant, animals, food, animal, population, fish, organisms, found",Extinction_debt.txt
4.0,0.4558,"world, country, population, war, government, people, state, national, europe, largest",Title.txt
0.0,0.6223,"species, plants, plant, animals, food, animal, population, fish, organisms, found",penguin.txt
1.0,0.3146,"research, management, social, systems, design, development, science, system, information, process",Environmental.txt
4.0,0.3965,"world, country, population, war, government, people, state, national, europe, largest",Italian.txt
7.0,0.4947,"philosophy, theory, social, human, world, language, political, nature, history, thought",Latin.txt
11.0,0.7559,"water, earth, soil, surface, sea, land, ocean, areas, temperature, atmosphere",landslides.txt
14.0,0.7728,"economic, government, law, public, market, company, international, united_states, state, countries",arbitrage.txt
0.0,0.4017,"species, plants, plant, animals, food, animal, population, fish, organisms, found",feedlots.txt
1.0,0.5549,"research, management, social, systems, design, development, science, system, information, process",Environmental_niche_modelling.txt
5.0,0.5601,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",Alternative_energy.txt
14.0,0.4664,"economic, government, law, public, market, company, international, united_states, state, countries",Cash_conversion_cycle.txt
7.0,0.6103,"philosophy, theory, social, human, world, language, political, nature, history, thought",Hans-Georg_Gadamer.txt
12.0,0.2621,"city, university, state, area, park, national, school, road, cities, urban",stable.txt
6.0,0.4453,"university, work, art, american, published, book, time, history, new_york, life",Jason_Lewis.txt
1.0,0.7447,"research, management, social, systems, design, development, science, system, information, process",Management_by_objectives.txt
14.0,0.2773,"economic, government, law, public, market, company, international, united_states, state, countries",Ethical_job.txt
5.0,0.2312,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",Agricultural_supplies.txt
13.0,0.4089,"power, energy, fuel, air, system, gas, high, systems, vehicles, electric",turbine_hall.txt
